国家名,日期,确诊病例,死亡病例,康复病例
阿富汗,11/18/20,43924,1648,35295
阿富汗,11/19/20,44177,1653,35350
阿富汗,11/20/20,44363,1666,35370
阿富汗,11/21/20,44503,1678,35422
阿富汗,11/22/20,44706,1690,35934
阿富汗,11/23/20,44988,1702,35976
阿富汗,11/24/20,45174,1715,36122
阿富汗,11/25/20,45384,1728,36145
阿富汗,11/26/20,45600,1737,36232
阿富汗,11/27/20,45723,1740,36295
阿富汗,11/28/20,45844,1752,36709
阿富汗,11/29/20,46116,1774,36716
阿富汗,11/30/20,46274,1795,36831
阿富汗,12/1/20,46516,1822,36946
阿富汗,12/2/20,46718,1841,37218
阿富汗,12/3/20,46837,1846,37260
阿富汗,12/4/20,46837,1846,37260
阿富汗,12/5/20,47072,1864,37393
阿富汗,12/6/20,47306,1874,37685
阿富汗,12/7/20,47516,1900,37879
阿富汗,12/8/20,47716,1906,37920
阿富汗,12/9/20,47851,1919,38032
阿富汗,12/10/20,48053,1935,38099
阿富汗,12/11/20,48116,1945,38141
阿富汗,12/12/20,48229,1956,38200
阿富汗,12/13/20,48527,1965,38250
阿富汗,12/14/20,48718,1969,38252
阿富汗,12/15/20,48952,1995,38336
阿富汗,12/16/20,49161,2011,38475
阿富汗,12/17/20,49378,2025,38505
阿富汗,12/18/20,49621,2030,38540
阿富汗,12/19/20,49681,2047,38613
阿富汗,12/20/20,49817,2067,39006
阿富汗,12/21/20,50013,2082,39508
阿富汗,12/22/20,50190,2096,39585
阿富汗,12/23/20,50433,2117,39692
阿富汗,12/24/20,50655,2126,40359
阿富汗,12/25/20,50810,2139,40444
阿富汗,12/26/20,50886,2149,40784
阿富汗,12/27/20,51039,2160,41096
阿富汗,12/28/20,51280,2174,41441
阿富汗,12/29/20,51350,2179,41543
阿富汗,12/30/20,51405,2181,41612
阿富汗,12/31/20,51526,2191,41727
阿富汗,1/1/21,51526,2191,41727
阿富汗,1/2/21,51526,2191,41727
阿富汗,1/3/21,51526,2191,41727
阿富汗,1/4/21,53011,2237,42530
阿富汗,1/5/21,53105,2244,42666
阿富汗,1/6/21,53105,2244,42666
阿富汗,1/7/21,53207,2253,43291
阿富汗,1/8/21,53332,2257,43440
阿富汗,1/9/21,53400,2264,43740
阿富汗,1/10/21,53489,2277,43948
阿富汗,1/11/21,53538,2288,44137
阿富汗,1/12/21,53584,2301,44608
阿富汗,1/13/21,53584,2301,44850
阿富汗,1/14/21,53775,2314,45298
阿富汗,1/15/21,53831,2324,45434
阿富汗,1/16/21,53938,2336,45465
阿富汗,1/17/21,53984,2339,45868
阿富汗,1/18/21,54062,2343,46359
阿富汗,1/19/21,54141,2346,46554
阿富汗,1/20/21,54278,2354,46759
阿富汗,1/21/21,54403,2363,46887
阿尔巴尼亚,1/22/20,0,0,0
阿尔巴尼亚,1/23/20,0,0,0
阿尔巴尼亚,1/24/20,0,0,0
阿尔巴尼亚,1/25/20,0,0,0
阿尔巴尼亚,1/26/20,0,0,0
阿尔巴尼亚,1/27/20,0,0,0
阿尔巴尼亚,1/28/20,0,0,0
阿尔巴尼亚,1/29/20,0,0,0
阿尔巴尼亚,1/30/20,0,0,0
阿尔巴尼亚,1/31/20,0,0,0
阿尔巴尼亚,2/1/20,0,0,0
阿尔巴尼亚,2/2/20,0,0,0
阿尔巴尼亚,2/3/20,0,0,0
