日期,确诊病例,预测病例,国家名
1/7/21,222885.0,222794.87998821342,阿塞拜疆
1/8/21,223417.0,223521.85098813038,阿塞拜疆
1/9/21,224050.0,224320.53718452153,阿塞拜疆
1/10/21,224651.0,225207.41494875692,阿塞拜疆
1/11/21,224827.0,226198.65807901789,阿塞拜疆
1/12/21,225346.0,227310.13780029636,阿塞拜疆
01/13/21,,228557.42276439548,阿塞拜疆
01/14/21,,229955.77904992923,阿塞拜疆
01/15/21,,231520.1701623228,阿塞拜疆
01/16/21,,233265.257033812,阿塞拜疆
01/17/21,,235205.3980234439,阿塞拜疆
01/18/21,,237354.64891707647,阿塞拜疆
01/19/21,,239726.7629273786,阿塞拜疆
12/14/20,7674.0,7678.858237547903,巴哈马群岛
12/15/20,7698.0,7695.151871500159,巴哈马群岛
12/16/20,7714.0,7709.1791001935,巴哈马群岛
12/17/20,7725.0,7721.413068407517,巴哈马群岛
12/18/20,7733.0,7732.284871317238,巴哈马群岛
12/19/20,7733.0,7742.183554493118,巴哈马群岛
12/20/20,7746.0,7751.456113901045,巴哈马群岛
12/21/20,7765.0,7760.407495902339,巴哈马群岛
12/22/20,7772.0,7769.30059725375,巴哈马群岛
12/23/20,7788.0,7778.356265107461,巴哈马群岛
12/24/20,7788.0,7787.753297011086,巴哈马群岛
12/25/20,7788.0,7797.628440907669,巴哈马群岛
12/26/20,7788.0,7808.076395135688,巴哈马群岛
12/27/20,7834.0,7819.149808429051,巴哈马群岛
12/28/20,7834.0,7830.8592799170965,巴哈马群岛
12/29/20,7846.0,7843.173359124597,巴哈马群岛
12/30/20,7857.0,7856.018545971753,巴哈马群岛
12/31/20,7871.0,7869.279290774201,巴哈马群岛
1/1/21,7887.0,7882.797994243005,巴哈马群岛
1/2/21,7887.0,7896.375007484662,巴哈马群岛
1/3/21,7914.0,7909.7686320011,巴哈马群岛
1/4/21,7924.0,7922.69511968968,巴哈马群岛
1/5/21,7928.0,7934.828672843191,巴哈马群岛
1/6/21,7945.0,7945.801444149858,巴哈马群岛
1/7/21,7959.0,7955.203536693333,巴哈马群岛
1/8/21,7969.0,7962.583003952704,巴哈马群岛
1/9/21,7969.0,7967.445849802486,巴哈马群岛
1/10/21,7969.0,7969.256028512628,巴哈马群岛
1/11/21,8004.0,7967.435444748511,巴哈马群岛
1/12/21,8004.0,7961.363953570945,巴哈马群岛
01/13/21,,7950.379360436174,巴哈马群岛
01/14/21,,7933.777421195871,巴哈马群岛
01/15/21,,7910.811842097142,巴哈马群岛
01/16/21,,7880.694279782526,巴哈马群岛
01/17/21,,7842.59434128999,巴哈马群岛
01/18/21,,7795.639584052934,巴哈马群岛
01/19/21,,7738.915515900189,巴哈马群岛
12/14/20,89268.0,89289.08994989585,巴林
12/15/20,89444.0,89427.49162982518,巴林
12/16/20,89600.0,89576.50870590252,巴林
12/17/20,89743.0,89735.24339182292,巴林
12/18/20,89883.0,89902.88182435482,巴林
12/19/20,90062.0,90078.69406334011,巴林
12/20/20,90282.0,90262.03409169413,巴林
12/21/20,90450.0,90452.3398154056,巴林
12/22/20,90634.0,90649.13306353672,巴林
12/23/20,90817.0,90852.01958822306,巴林
12/24/20,91070.0,91060.68906467364,巴林
12/25/20,91304.0,91274.91509117094,巴林
12/26/20,91518.0,91494.55518907083,巴林
12/27/20,91733.0,91719.55080280261,巴林
12/28/20,91935.0,91949.927299869,巴林
12/29/20,92169.0,92185.79397084616,巴林
12/30/20,92425.0,92427.3440293837,巴林
12/31/20,92675.0,92674.85461220462,巴林
1/1/21,92913.0,92928.68677910535,巴林
1/2/21,93184.0,93189.28551295577,巴林
1/3/21,93478.0,93457.17971969917,巴林
1/4/21,93766.0,93732.98222835225,巴林
1/5/21,93995.0,94017.38979100517,巴林
1/6/21,94284.0,94311.18308282153,巴林
1/7/21,94633.0,94615.22670203829,巴林
1/8/21,95030.0,94930.46916996589,巴林
1/9/21,95317.0,95257.9429309882,巴林
1/10/21,95558.0,95598.76435256247,巴林
1/11/21,95879.0,95954.13372521944,巴林
1/12/21,96195.0,96325.33526256323,巴林
01/13/21,,96713.73710127138,巴林
01/14/21,,97120.79130109491,巴林
01/15/21,,97548.03384485823,巴林
01/16/21,,97997.08463845917,巴林
01/17/21,,98469.647510869,巴林
01/18/21,,98967.51021413243,巴林
01/19/21,,99492.54442336757,巴林
12/14/20,492332.0,492585.20347775146,孟加拉国
12/15/20,494209.0,494062.40884173685,孟加拉国
12/16/20,495841.0,495511.290962215,孟加拉国
12/17/20,496975.0,496929.9474162717,孟加拉国
12/18/20,498293.0,498316.7996735919,孟加拉国
12/19/20,499560.0,499670.5930964597,孟加拉国
12/20/20,500713.0,500990.39693975815,孟加拉国
12/21/20,502183.0,502275.6043509697,孟加拉国
12/22/20,503501.0,503525.9323701758,孟加拉国
12/23/20,504868.0,504741.42193005694,孟加拉国
12/24/20,506102.0,505922.43785589293,孟加拉国
12/25/20,507265.0,507069.66886556265,孟加拉国
12/26/20,508099.0,508184.12756954407,孟加拉国
12/27/20,509148.0,509267.1504709143,孟加拉国
12/28/20,510080.0,510320.3979653496,孟加拉国
12/29/20,511261.0,511345.8543411254,孟加拉国
12/30/20,512496.0,512345.8277791162,孟加拉国
12/31/20,513510.0,513322.9503527957,孟加拉国
1/1/21,514500.0,514280.1780282366,孟加拉国
1/2/21,515184.0,515220.7906641109,孟加拉国
1/3/21,516019.0,516148.3920116897,孟加拉国
1/4/21,516929.0,517066.90971484315,孟加拉国
1/5/21,517920.0,517980.5953100405,孟加拉国
1/6/21,518898.0,518894.02422635036,孟加拉国
1/7/21,519905.0,519812.0957854403,孟加拉国
1/8/21,520690.0,520740.03320157697,孟加拉国
1/9/21,521382.0,521683.3835816262,孟加拉国
1/10/21,522453.0,522648.0179250532,孟加拉国
1/11/21,523302.0,523640.1311239219,孟加拉国
1/12/21,524020.0,524666.2419628956,孟加拉国
01/13/21,,525733.1931192367,孟加拉国
01/14/21,,526848.1511628069,孟加拉国
01/15/21,,528018.6065560667,孟加拉国
01/16/21,,529252.3736540759,孟加拉国
01/17/21,,530557.5907044935,孟加拉国
01/18/21,,531942.7198475774,孟加拉国
01/19/21,,533416.5471161851,孟加拉国
12/14/20,296.0,290.69997052752797,巴巴多斯
12/15/20,297.0,295.82976716769423,巴巴多斯
12/16/20,301.0,301.14467125412733,巴巴多斯
12/17/20,305.0,306.32438652470404,巴巴多斯
12/18/20,307.0,311.1406280542898,巴巴多斯
12/19/20,307.0,315.4571222547386,巴巴多斯
